-39 -> -0b100111 , -0x27
-36 -> -0b100100 , -0x24
8 -> 0b1000 , 0x8
34 -> 0b100010 , 0x22
17 -> 0b10001 , 0x11
49 -> 0b110001 , 0x31
5 -> 0b101 , 0x5
0 -> 0b0 , 0x0
33 -> 0b100001 , 0x21
12 -> 0b1100 , 0xc
-6 -> -0b110 , -0x6
27 -> 0b11011 , 0x1b
-4 -> -0b100 , -0x4
-38 -> -0b100110 , -0x26
26 -> 0b11010 , 0x1a
49 -> 0b110001 , 0x31
29 -> 0b11101 , 0x1d
42 -> 0b101010 , 0x2a
-16 -> -0b10000 , -0x10
34 -> 0b100010 , 0x22
20 -> 0b10100 , 0x14
0 -> 0b0 , 0x0
25 -> 0b11001 , 0x19
45 -> 0b101101 , 0x2d
3 -> 0b11 , 0x3
-46 -> -0b101110 , -0x2e
-46 -> -0b101110 , -0x2e
29 -> 0b11101 , 0x1d
33 -> 0b100001 , 0x21
29 -> 0b11101 , 0x1d
26 -> 0b11010 , 0x1a
-5 -> -0b101 , -0x5
-36 -> -0b100100 , -0x24
12 -> 0b1100 , 0xc
45 -> 0b101101 , 0x2d
-50 -> -0b110010 , -0x32
0 -> 0b0 , 0x0
-6 -> -0b110 , -0x6
